Question	Answer
痛风合并痛风石原因和怎么治疗？	在未经治疗的病人，首发症状后 20 年 70%患者出现痛风石-《实用内科学》节选。30%未规律治疗的痛风患者在 5 年内可形成痛风石-《实用痛风病学》节选。笔者观察少数无症状高尿酸血症也会有痛风石，消肿止痛不及时第一次发作就长出痛风石也很常见。每一次痛风的发作，都伴随着尿酸钠结晶在滑膜上的析出。结晶析出后，各种免疫细胞发现异己，积极响应。以中性粒细胞为首的吞噬细胞在吞噬了这些异物后，却没法将其降解。于是尿酸盐结晶和一层一层的吞噬细胞尸体以及增生的纤维蛋白就留存在关节附近的皮层下，这就叫做肉芽肿性炎症。每次痛风发作都会重复上述过程，时间长了，这些反复受到攻击的关节处就形成了肉眼可见的痛风石。如果痛风石不是很大，也不影响正常的关节活动，一般不建议手术取石，主要是因为取石手术的创伤面愈合难度较大易发感染。如果不得不做取石手术，也建议先把尿酸控制在 300 以下，维持 3 个月以上再进行手术，且手术后依然需要保持 300 以下的尿酸水平，防止生成新的痛风石。对于已经长出来明显能看到的痛风石，基本上都是保护好周围的皮肤不破损即可，剩下来的就是常规的降尿酸治疗，尿酸水平控制 300 毫摩尔以下，痛风石一般会在 3-36 个月逐渐消减。痛风石在降尿酸后变大也很常见，要有心理准备，大部分降尿酸 270 以下可以溶解。分纤维增生严重或陈旧痛风石难以溶解。假如尿酸保持 270 以下一年丝毫没有变小建议做一下双源 CT 鉴别是不是滑膜增生，痛风导致的滑膜增生一般不需要治疗。下图是降尿酸 270 以下一年溶解痛风石案例；手术前三个月没将尿酸降到 300 以下，往往造成患者的伤口不容易愈合。提前三个月将尿酸降到 300 以下再做手术，目的是溶通毛细血管，让细胞获得营养能生长愈合，另外伤口应用胱胺嘧啶银进行伤口换药（类似烧伤伤口换药），有利于伤口愈合。下图是伤口无法愈合案例三，常见误区和问答1，吃降酸药药就万事大吉了，不用体检错误吃药需要定期体检，有异常及时干预或停药，不然肝纤维化了都不知道，吃药后体检项目和一般会导致哪些化验指标异常、处理方式在《体检篇》和《报告解读篇》。2，痛风痛的时候就止痛，平时不痛不管他错误止痛不降酸，病情在发展。痛风的发作主要与尿酸水平有关，想要痛风不复发，必须使尿酸长久地降下来。痛了就吃药，不痛就不吃，反而更容易导致痛风发作。且如果长此以往，只会让痛风发作得越来越频繁，疼痛次数越来越多，甚至会导致关节畸形、骨侵蚀、肾功能损害、危及生命。3，吃降酸药尿酸降下来就可以停了，不用长期吃药错误痛风不能根治，只能控制。三大降酸药药效只有 24 小时，停了之后会恢复原来尿酸。4，秋水仙碱副作用大，已淘汰错误秋水仙碱应用痛风发作已经有两千年历史，地位无法撼动，目前还是中外指南用于痛风发作和预防溶晶痛一线用药。这是因为传统吃法一小时 2 粒吃到腹泻这种吃法副作用太大，笔者和大部分风友都被坑过，按照指南新的吃法首剂两粒 0.5 毫克，一小时后追加 0.5 毫克，如有必要 12 小时后追加 0.5 毫克，一天不超过 4 粒，副作用大大降低也不易腹泻，有部分比较敏感吃一粒也腹泻的就不用秋水仙碱了用非甾体抗炎镇痛药。
痛风不能根治，一辈子都要担惊受怕？	错误痛风是可以达到临床治愈的。目前痛风临床治愈的标准主要有以下四个方面：①尽快终止急性关节炎发作；②防止关节炎复发；③纠正高尿酸血症，防止因尿酸盐沉积于肾脏、关节等所引起的并发症，防止肾脏的尿酸结晶石形成；④预防和治疗糖尿病、肥胖、高血压、血脂异常等伴发性疾病。随着溶解结晶，只要小剂量尿酸药物水平长久稳定，痛风性关节炎不再复发，没有其他并发症和伴发性疾病的产生，痛风患者就算临床治愈。理解风友都有打败疾病的美好愿望，但疾病的发生是一种客观事实，它的发展大多数情况下，都不以个人意志为转移。打败它可能很难，但是调整心态和它共存则很容易。强求自己完全康复，必须不吃药是不明智的，首先应该以控制疾病为首要目标。我们与疾病，当然也包括人生中的其他，对抗需要勇气，共存则需要智慧，宽容和领悟。6，长期吃药伤肝肾啊，不想吃药。降尿酸药伤肝、伤肾，也是一个流行很广的谣言。假设：“A 正常能活 100 岁”“A 生病已经在伤害各项指标，能活 70 岁”“A 某病+服药有一定的伤害的情况下，能活 80 岁”
那你认为不吃药伤害大还是服药伤害大呢？	许多患者宁可忍受一次次的痛风发作而不敢服用降尿酸药，就是担心降尿酸药伤肝、伤肾。首先，药物通过肝脏代谢、肾脏排泄，与药物伤肝、伤肾是两个概念。这好比走这条路与毁这条路是两回事一样。
你每天吃的肉食都要经过肝脏代谢、肾脏排泄，那肉食伤肝、伤肾吗？	以最常见而且被误会最深的二甲双胍为例，二甲双胍全部经过肾脏排泄，但是，二甲双胍不伤肾。只不过，肾功能减退后影响二甲双胍的排泄，导致二甲双胍在体内蓄积，如果遇到严重感染等情况，则可能诱发乳酸酸中毒。这下明白了吧。不是二甲双胍伤肾，而是肾损害后影响二甲双胍的排泄。常用的降尿酸药别嘌醇、非布司他和苯溴马隆就是如此。具体可参考《痛风大全》6，降酸药篇1、别嘌醇别嘌醇的代谢产物经过肾脏排泄，肾功能减退患者，别嘌醇排泄障碍，容易在体内蓄积，增加严重过敏反应的风险。2、非布司他非布司他经过肝脏代谢，代谢产物一半经过肾脏排泄，一半经过肠道排出体外。但服用非布司他后，有转氨酶升高的现象。据报道，非布司他每天 80mg，肝功能异常的发生率为 4.6%，与别嘌醇导致肝酶升高的比例相当。一般来说，如果转氨酶升高没有超过基线值的 3 倍（不超过 120 U）不用停药，酌情搭配护肝片即可，如果超过 3 倍，则减量或停药或换药。3、苯溴马隆苯溴马隆通过肝脏代谢，代谢产物 94%经过肠道排出体外，6%经过肾脏排出体外。三个降尿酸药都不伤肾，常规剂量使用对肝脏也是安全的。但是，肝肾功能下降后，会影响三者的代谢或者排泄，使用剂量应严格掌握。降酸药上市之前做过十多年临床试验，安全性，有效性都是第一位的。没错所有都有副作用和不良反应，但这是可以通过定期体检，可控的。降酸药通过肝代谢，肝脏有强大的自我修复能力，出现肝损伤停药很快恢复，但高尿酸对靶器官损伤却不可逆。相比高尿酸危害，吃药收益是远超高尿酸危害。
既然痛风是肝肾出了问题，那用中药调理肝肾不就好了吗？	要是那么容易痛风就不是世界难题了，中医的肝肾和现代医学的肝肾脏器不是一回事，尚无“调理肝肾”尿酸达标 360 以下案例。
有什么尿酸/血压/血糖测试仪器推荐吗?	尿酸家用测试仪推荐百捷品牌，绿色款和三合一功能都可以，这品牌比较准很多医院都在用。误差 20-30 微摩尔每升左右忽略不计，假如医院检验方法和百捷一样就数值一样，其他品牌均不推荐，误差太大见证太多了。血压仪推荐欧姆龙，血糖仪推荐罗氏。下图就是百捷测试仪，微信搜索《痛风快好》商城里就有。他们也是百捷 2021，2022 年，年度最佳服务商，机器和试纸都靠谱！
为什么每天同样计量降酸药，尿酸升高了，是不是耐药了?	不是耐药，降酸药没有耐药性。这是非常常见的，80%都会遇到，笔者几乎每天都在答疑这样的疑问。尿酸受溶晶，饮食，代谢影响，尿酸高了随着尿酸值加减量就可以了，尿酸是波动的，过段时间会回落。人体的血液，滑液，淋巴液，这三种液体中都是可以有尿酸存在的。许多血液中的血尿酸会转移到关节滑液、淋巴液等地方，也就是说，检测时的血尿酸可能转移到其他体液里面了，导致血液中的尿酸波动原因之一。
小便有泡沫怎么办?	高尿酸或者溶晶会有泡沫，很常见的，做尿常规排除一下尿糖，尿蛋白。9，痛风是吃出来的，吃药副作用大，忌口就行了，不必用药物治疗内源嘌呤 80%外源嘌呤 20%，这也是清汤寡水尿酸还是高了，单纯控制饮食难以控制尿酸达标，也不能完全预防痛风发作，该吃药吃药。10，吃药有副作用，减肥就好了，不必吃药因为肥胖而尿酸高的能降尿酸,但笔者见识风友快两万了，减肥能降高尿酸的只有三百分之一左右，但减肥对健康有好处。11，喝菊苣降酸茶能降尿酸通过茶叶来增加主动饮水量，倒是一个好办法，由于茶叶种类繁多，难以统一的去研究其对尿酸的影响。但是现有的研究认为，茶叶对尿酸即没有多少升高作用，也没有明显的降低作用。12，「纯天然草药中药」的偏方止痛效果很好，可以长期用效果好，大多是掺了激素，危害更大！医生给你用激素，一般就用三五天，副作用都在可控范围内。但是自己道听途说搞的「偏方」，很多是黑心商贩抓住了病人「只管止住疼痛就是好药的心理」，施展骗术。不明“中草药”中药粉，吃了止痛效果好，99.99%是掺激素药，吃多了和长出痛风石风险增加，满月脸、水牛背、骨质疏松、股骨头坏死等。详情可查阅知乎博主，凯喜博士。
痛风会遗传给自己的孩子？	研究表明，痛风属于多基因遗传性疾病，不是绝对意义上的遗传病，只是具有一定的遗传倾向，有家族史的患者只有 10%-40%，其发病是遗传因素与环境因素共同作用的结果。即并非上代有病，下代或隔代必然发病。痛风可分为原发性和继发性，而高嘌呤饮食、肥胖、大量饮酒是现代社会中诱发痛风的主要因素。目前，已知和痛风发病相关的易感基因包括参与尿酸生成的基因，如次黄嘌呤-鸟嘌呤磷酸核糖基转移酶（HPRT），以及影响尿酸肾脏排泄的基因，如尿酸盐阴离子转动体 1 相关基因。这些基因的缺陷在一定程度上会增加高尿酸血症和痛风发病的风险，但同时又受后天环境因素的影响。因此，即使有痛风家族史或携带有痛风的易感基因，在现实生活中也不一定就会得痛风。
痛风影响寿命吗？	痛风其他三高一样不可怕，可怕的是并发症，如果认真进行治疗，并加强自身的保健，让血尿酸一直在正常的范围之内，并避免痛风性关节炎的急性发作，不出现痛风石和肾脏损害，则完全可以带病延年，享受和正常人一样的寿限和生活。如果痛风符合降尿酸指征不控制和定期体检可导致多个靶器官的损伤，可能影响预期寿命。下图是吃十多年降酸药控制，痛风快好交流群风友之一，随访都没问题。感谢大家阅读，我是房寻仙，痛风快好的一位风友，以下资料会持续更新，所有内容，经过风友实践和大量文献资料总结而来，供参考。科普不代表治病，不代替治疗，仅供学习参考，如有身体不适请到三甲医院面诊！遵医嘱。感谢痛风快好 APP 提供那么好的科普平台！感谢为痛风治疗指南付出的所有医务人员~以及科普人！感谢痛风快好 APP 交流群内大量的风友！本篇是《痛风大全》3，防治与治疗建议以下文章持续更新......感谢关注，也感谢传播科普！《痛风大全》1，体检篇-已更新《痛风大全》2，发作与溶晶痛篇-已更新《痛风大全》3，防治建议篇-已更新《痛风大全》4，生活干预与饮食篇《痛风大全》5，碱化尿液与肾结石篇-已更新《痛风大全》6，降酸药篇-已更新《痛风大全》7，脂肪肝篇《痛风大全》8，中医中药篇《痛风大全》9，报告解读篇参考文献：《2019 中国高尿酸血症与痛风诊疗指南》《实用痛风病学》《痛风诊疗一本通—白衣阿木》《医学界-肾病与风湿免疫频道陈新鹏》为方便查阅，《痛风大全》完整版发布于痛风快好 app、痛风快好微信小程序（痛风专栏）声明：著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。感谢阅读，我是房寻仙。
得了痛风终身与海产品无缘？	大多数海产品嘌呤含量比较高，但不同海产品嘌呤含量差别很大，比如海蜇和海参，每 100g 嘌呤含量仅为 93mg 和 4.2mg，甚至比有些青菜还要低。因此，海参、海蜇，海藻这些嘌呤含量低的海产品，痛风患者完全可以吃。另外，痛风疾病。的不同时期海产品的摄人要求也不同，比如痛风急性期及血尿酸未控制的患者，嘌呤含量高的海产品绝对禁食，但痛风间歇期及血尿酸已经控制达标的患者，可以有选择地食用嘌呤含量中等至低等的海产品,比如三文鱼、秋刀鱼等。因此，痛风患者并不是不能进食海鲜，关键要掌握进食海鲜的量及时机。《实用痛风病学 437》
什么情况下适合生活干预？	无症状高尿酸血症。第一次痛风，第一次痛风发作,各国指南都没有建议开始降尿酸治疗,可以先生活干预 1-3 个月看看能不能降下来。
生活干预的成功率有多少？	无症状第一次体检刚发现 40%能降下来 420 以下，只是痛过一次，大约 10%能生活干预降 420 以下。笔者结识大量风友观察来看，这只是我个人视角。
生活干预有哪些？	控制体重，规律作息，多喝水，减少高嘌呤，高果糖，酒精的摄入等。本篇嘌呤表是痛风快好 app 整理，值得一提不同时期对饮食要求不同，假如容易发作可以参考。也可以下载痛风快好 APP 查嘌呤。感谢大家阅读，我是房寻仙，痛风快好的一位风友，以下资料会持续更新，所有内容，经过风友实践和大量文献资料总结而来，供参考。科普不代表治病，不代替治疗，仅供学习参考，身体不适请到三甲医院面诊，请遵三甲医院医嘱！感谢为痛风治疗指南付出的所有医务人员~以及科普人！感谢痛风快好 APP 交流群内大量的风友！本篇是《痛风大全》4，饮食篇以下文章持续更新……感谢关注，也感谢传播科普！《痛风大全》1，体检篇《痛风大全》2，发作与溶晶痛篇《痛风大全》3，防治篇《痛风大全》4，饮食篇《痛风大全》5，碱化尿液与肾结石篇《痛风大全》6，降酸药篇《痛风大全》7，脂肪肝篇《痛风大全》8，中医中药篇《痛风大全》9，报告解读篇参考文献：《实用痛风病学》为方便查阅，《痛风大全》完整版发布于痛风快好 app、痛风快好微信小程序（痛风专栏）声明：著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。感谢阅读，我是房寻仙。
为什么要碱化尿液？	碱化尿液可延缓 eGFR 的降低，延缓肾脏损伤酸性尿与肾结石、肾囊肿、蛋白尿、血尿及 eGFR 下降密切关联（eGFR 是估算的肾小球滤过率，用来反映肾脏的功能，肾小球滤过率低于 90 是肾小球滤过率已经减低，属于肾功能受损。）高尿酸血症，尿液 PH 应保持 6.1-6.9ph5.0 一升尿液排出 80 毫克尿液中的尿酸ph6.0 一升尿液排出 240 毫克尿液中的尿酸ph7.0 一升尿液排出 1540 毫克尿液中的尿酸高尿酸血症长期小于 PH6.0 易形成尿酸性肾结石高于 7.0 易形成草酸钙结石和磷酸钙结石碱化尿液只是利于尿液尿酸从肾脏排出，预防，溶解泌尿尿酸结石，但和血液尿酸没关系，这也是为什么碳酸氢钠、友来特不降尿酸的原因！下图可拉伸放大二、什么情况下需要碱化尿液? （注意，不是所有人）根据《2021 痛风基层合理用药指南》慢性肾功能不全合并高尿酸血症与痛风患者服用苯溴马隆尿酸性肾结石患者，必要时可碱化尿液服用非布司他，别嘌醇无尿酸性肾结石/痛风石，PH5.0 以上不用碱化尿液，详细解析查阅《降酸药篇》
碱化尿液的方法有哪些？	1，碳酸氢钠血液中，碳酸氢根离子（HCO3－）正常值为 24mmol/L。口服碳酸氢钠后，首先，碳酸氢钠中和胃酸；然后，未参与中和胃酸反应的碳酸氢钠进入血液中；最后，若血液中不缺少碳酸氢根离子（HCO3－），碳酸氢根离子就会被排泄到尿液中，产生碱化尿液的作用。用法用量：（请遵医嘱）口服，每次 0.5~1.0g（1~2 片），每日 3 次。饭前一小时或者饭后一小时。碳酸氢钠的三大不良反应①胃肠道不良反应碳酸氢钠中和胃酸，产生二氧化碳，可引起胀气、胃肠道不适等。若在食用过量的酸性食物后口服碳酸氢钠，产生大量的二氧化碳，可引起胃破裂。②高血压口服碳酸氢钠（NaHCO3）：每次 0.5g，每日 3 次，相当于每日口服0.41g 的钠。长期服用碳酸氢钠，可致水钠潴留，不仅可引起血压波动，加重高血压病情，而且可诱发心力衰竭，甚至代谢性碱中毒。③低钾血症若长期过量服用碳酸氢钠，血液中 H＋减少，H＋从细胞内移出至细胞外，K＋从细胞外进入细胞内，血钾浓度降低。温馨提示：与大量的牛奶、钙剂合用，可能会出现乳碱综合征（高钙血症，碱中毒等）。2，枸橼酸制剂枸橼酸氢钾钠有德国品牌友来特，国产仿制药逍适柠，金石淋，易能清等。友来特要比小苏打要贵，大约一个月费用 100 元左右，口服枸橼酸氢钾钠颗粒增加尿液 PH 值和枸橼酸根的排泄，减少尿液的钙离子浓度。这种由枸橼酸氢钾钠颗粒诱发的变化使尿液中形成结石的盐易形成结晶，所致的钙离子浓度的减少能降低尿液中能形成结石的钙盐饱和度，PH 值的升高能增加尿酸和胱氨酸结石的可溶性。用法用量：根据尿 pH 调整剂量，维持尿全天 pH 在 6.2 到 6.9 之间 ，如晨尿pH 低睡觉前喝一小勺。和碳酸氢钠比枸橼酸制剂副作用要小一些，和非甾体抗炎镇痛药（依托考西，双氯芬酸钠等）一起服用，有高钾血症风险，注意不一起服用。如痛风发作需要吃非甾体抗炎镇痛要暂时停一停枸橼酸制剂，在第一次使用枸橼酸氢钾钠之前，需要检查肾功能和电解质，定期体检加电解质检查。3、天然碱性水天然碱性水不含添加剂，可帮助碱化尿液，是适合痛风患者长期饮用的上好饮用水，价格比较贵！官方也做了很多循证，但是企业太大，太高调，食品宣传降尿酸、宣传功效被新闻曝光！可惜了！反过来说，新闻也让天外天天然碱性水火了一把，据说现在销量更好了！4.风零+酸樱桃柠檬酸合剂酸樱桃柠檬酸合剂特点是口感好，预防痛风发作、抗氧化、溶晶及保护肾脏等，不和药物有相互作用，作为功效型食品却以药品的标准进行临床研究，价格比较贵，每天 15 元左右。4. 用食物碱化尿液柠檬、山楂、陈皮，黑枸杞等食物碱化尿液强度比药物弱很多，需要掌握用量。柠檬虽然是酸的，但枸橼酸进入人体经克氏循环后，能使尿液呈碱性。最好使用吸管来饮用柠檬水或山楂水保护牙齿，柠檬最好选新鲜青柠，柠檬干选择无添加蜂蜜柠檬干，柠檬汁中的酸性对于胃有一定的刺激作用，所以肠胃不好的，不建议使用，黑枸杞用 70-80 左右水温泡之。由于尿液 PH比较恒定，碱化效果只有几个小时左右，需要买精密测试纸配合。喝之前测测，喝了之后 1-2-3 小时测测，测试纸笔者找了很多，这款准确，买 4.5-9.0 规格，找图片这款就行，痛风快好商城里面就有！大家根据自己经济情况选择适合自己的碱化尿液方法，也可以如有肾结石/痛风石溶解后选择非布司他/别嘌醇方便不需要碱化尿液，或者服用苯溴马隆复查泌尿彩超没有形成肾结石一直使用皆可。四、碱化尿液与尿酸性肾结石的常见问答
听闻碳酸氢钠可以降尿酸？❎	不可以，这是常见误区，碳酸氢钠碱化尿液只是让尿液中尿酸更好排出。高尿酸血症 90%是肾小管对尿酸重回收亢进导致，要是能降血液尿酸大家都不用吃药了。只有个别可以稍微降点，这是体质原因和有些风友多喝水就能降尿酸同理。
碳酸氢钠说明书写不能超过 7 天，为什么医生开一个月？	不超过 7 天只是用于缓解胃酸过多引起的胃痛、胃灼热感（烧心）、反酸。用于碱化尿液可以，推荐吃六天停一天怕胃受不了，长期吃不推荐超过几个月，原因上述有三大不良反应。可以几个月和枸橼酸氢钾钠轮换，有些风友用几个月枸橼酸氢钾钠会提升不吃药 0.5 酸碱度。
X 线检查能查到尿酸性肾结石吗？	如果是尿酸盐结石，一般情况下不显影或显影较淡，如果是草酸钙结石、磷酸钙结石、磷酸铵镁结石一般情况下显影较清楚，对于不显影的结石可以通过彩超或者增强 CT 检查确定。4，有小的肾结石，结晶可以用苯溴马隆降尿酸吗？（请遵医嘱）小的可以，如 4mm 以下，最好搭配枸橼酸氢钾钠溶解它，一般都能溶解，要是 1-2 个月复查泌尿彩超发现增大了则暂时不选择苯溴马隆换其他降酸药。
尿酸性肾结石怎么治疗？	治疗首选口服枸橼酸氢钾钠，费用性价比高。小的 4mm 以下或者肾结晶，不用枸橼酸氢钾钠只是碱化尿液、降尿酸也可以溶解只是稍微慢点，4mm 以上推荐枸橼酸氢钾钠溶解。如果突然感觉腰腹痛，说明结石可能嵌顿输尿管里了，那时需要酌情运用体外冲击波碎石术或经皮肾镜取石术等，溶解后长期控制尿酸。以下是风友用枸橼酸氢钾钠溶解肾结石例子之一感谢大家阅读，我是房寻仙，痛风快好的一位风友，以下资料会持续更新，所有内容，经过风友实践和大量文献资料总结而来，供参考。科普不代表治病，不能代替医生治疗，仅供参考与交流！身体不适请到三甲医院面诊，请遵三甲医院医嘱！感谢痛风快好 APP 提供那么好的科普平台！感谢为痛风治疗指南付出的所有医务人员~以及科普人！感谢痛风快好 APP 交流群内大量的风友！本篇是《痛风大全》5，碱化尿液与肾结石篇以下文章持续更新......感谢关注，也感谢传播科普！《痛风大全》1，体检篇-已更新《痛风大全》2，发作与溶晶痛篇-已更新《痛风大全》3，防治篇《痛风大全》4，生活干预与饮食起居篇《痛风大全》6，降酸药篇-已更新《痛风大全》7，脂肪肝篇《痛风大全》8，中医中药篇《痛风大全》9，报告解读篇参考文献：《2019 中国高尿酸血症与痛风诊疗指南》《2021 痛风基层合理用药指南》《医学界医生站-药评中心》为方便查阅，《痛风大全》完整版发布于痛风快好 app、痛风快好微信小程序（痛风专栏）声明：著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。感谢阅读，我是房寻仙。
如何避免 AHS 的发生？	1) 用药前筛查 HLA-B*5801 基因2) 从小剂量开始给药3) 避免联合应用利尿剂4) 对于肾功能不全的患者慎重用药5) 密切关注用药后的反应
哪些人群适用别醇？	肾功能正常且 HLA-B*5801 阴性的个体，应用别嘌醇相对安全。对于 HLA-B*5801 阳性的个体，如果肾功能正常，发生 AHS的风险高于阴性个体，但仍可尝试从小剂量起始治疗，如果肾功能不全，应尽可能避免应用别嘌醇。目前一些医疗机构无法进行 HLA-B*5801 检测，针对这种情况，也可应用别嘌醇，但剂量应该从更低水平开始，每日 50 mg 甚至隔日 50 mg，四周后如无不良反应发生，可根据尿酸下降情况调整用量。别嘌醇是 2021 基层痛风指南唯一一线用药，它的好处是几十年经典老药，毒副作用熟知，做好避免皮疹还是非常不错的，别嘌醇1966 年用于临床，研制人员 1988 年因对痛风诊疗贡献获得生理学诺贝尔奖。二、非布司他1. 抑制尿酸合成的一种新药，与别嘌醇相比，该药的优势主要体现在三个方面：1) 降尿酸作用比别嘌醇更加强大；2) 安全性比别嘌醇更高，甚少发生过敏反应；3) 肝肾双通道排泄，故轻、中度肾功能不全及肾结石患者也可使用，但重度肾功能不全（SCr≤30ml/min）需慎用；
非布司他副作用和不良反应有哪些？	1) 非布司他说明书写了近百种不良反应，但是在广泛情况下进行，不一定和非布司他相关。但笔者观察大约两万风友只有以下不良反应比较常见，这些这些风友全部男性 17-45 岁，而且是国产三大非布司他（授权药非布司他有一些不一样），有些风友可以换授权药改善，有些不行，大部分吃几天就有反应了，如果你吃了几个月没有，很有可能一直没有的了。如果你还没吃非布司他也不要害怕，不一定在你身上出现，即使出现也有办法。2) 6-10%肝功能异常（转氨酶升高，转氨酶和以太酶不超三倍不需要停药，80-100 可配护肝片，或者换药）3) 1%血糖，5%升高甘油三酯，个别升高低密度脂蛋白胆固醇，可能和胰岛素抵抗学说有关，不是非布司他原因。4) 3%左右掉头发。5) 个别增强性欲，10%左右性欲减退，具体原因未知，可能和原来高尿酸影响性激素，降尿酸之后改变。6) 1%胸闷心悸，心跳加速。7) 偶尔一个两个耳鸣，阳痿（换药恢复），视力模糊，其他的不良反应本人收到的反馈很少很少，这些非布司他说明书都有写。所以定期体检很重要，只要指标没问题，没不良反应就行，其他的心血管风险笔者是很少看到。吃坏人的更是没有，上面只是笔者个人阅历，暂时没有大型临床数据出来。在服用非布司他的病人中，转氨酶及转肽酶升高者约占 5%～10%，但发生真正药物性肝损害者极少，多数患者转氨酶增高是其他病因引起的，例如脂肪肝、酒精肝或者乙肝等等。转氨酶不超过正常范围最高值 3 倍的患者一般不考虑停药，绝大部分患者服用护肝片加食疗方子后，转氨酶都可以回落到正常水平。常用的护肝片有，葵花护肝片、易善复、复方益肝灵片、水飞蓟素，葡醛内酯片和双环醇片等等。
服用非布司他需要长期忌口吗？	痛风患者对饮食很容易刻舟求剑，比如现在身体结晶太多吃海鲜导致发作就“发誓一辈子不吃海鲜了”，这个看自身情况，有吃降酸药尿酸会很稳定，前期很容易发作是要忌口的，随着稳定和结晶不断排出饮食可以逐渐放宽。过度忌口会营养不良，营养不均衡，部分风友长期吃素还会身体虚弱。
服用非布司他肌酐升高了怎么办？	这个是非常常见的，可能服用是黄嘌呤增多导致的，还有降尿酸初期大量结晶通过肾脏排出（《实用痛风病学 123 页》），有些前期会胱抑素 c 轻度超标，这个不碍事，有个别还会从原来肌酐 80 升高到100，但只是“一过性”升高，过段时间肌酐会回落，降尿酸初期碱化尿液有利于结晶从肾脏排出。5. 不同品牌非布司他有什么区别，分别价格是多少。原研药帝人优于授权药菲布力/福避痛，授权药优于国产仿制药。帝人是原研药，但不推荐网购，因为日本帝人需要亲自去医院抽血才能开药，因为不通过抽血检查开药医生会被吊销医师资格证，日本对处方药管理非常严格，且大量过海关非法，发现走私会负刑事责任。而且不能验真伪。你去阿里巴巴也能找到非布司他材料，材料很便宜，假如有人去找印刷厂成本非常低。真要吃好可以选择菲布力或者福避痛，微商宣传帝人是可以治愈痛风是骗人的，停了也反弹。原研药第一个晶型不同，规则有序，仿制药可能为杂乱无章的固体。规则晶体溶解很快，吸收更容易。第二个是杂质不同，杂质犹如燕窝的鸟毛，要想鸟毛少，挑拣成本高，仿制药控制成本杂质不会少。第三是纯度不同，进口厂家好坏分的开。非布司他，除了日本原研生产的菲布力外，其他都是授权（因为不知道原研药的生产工艺等技术细节，只能逆向测绘然后进行仿制。）所以这些非原研药通常很难实现等剂量下的等效果，因此我们国家才搞了一个仿制药的效果一致性认定。哪个好具体还要把价格，药品安全，具体病情等等情况统一考虑进去，择优录取，适合自己才是最好，笔者认为吃国产仿制药就可以了，原因是效果好不好一个月体检就知道了。真有钱想吃好可以选择菲布力，福避痛。一粒 40mg 大概 10 元（再次强调需要日本医院开出来），菲布力一粒 40mg 大概 8 元左右，福避痛一粒 80mg 大概 6 元左右，三大国产降酸药风定宁 2.5 元，瑞扬优立通 1 元一粒 40mg，印度太阳非布司他 1 元一粒 40mg。
三大国产哪种最好？他们有什么特点？	都差不多，只是偶尔会有些吃优立通吃了尿酸一点没有降，换风定宁或者瑞扬就可以，只是个别，有个别三大非布司他都完全没有降可以换授权药菲布力/福避痛试试。一粒非布司他 40mg 降 200-250微摩尔每升尿酸就正常，分开早晚 250-300 微摩尔每升。6. 我去找了三个医生，分别开了非布司他、别嘌醇、苯溴马隆，吃哪
种好？哪种副作用最小？	首先确定自己能不能用这三种，假如是排泄障碍，那三种都可以选择。假如生成过多类型或者有大的肾结石只能选择非布司他或者别嘌醇。作为一款长期甚至终身服用的降酸药，非常理解每一位风友想找一款副作用最小的降酸药，但适合自己才是最好。别嘌醇的好处是几十年了副毒已经被熟知，还是 2021 中国痛风基层用药指南一线用药。非布司他好处是方便，不像别嘌醇可能会患史蒂芬强森皮疹，肾功能不全不用调整剂量，苯溴马隆要是吃到复查没肾结石也不错的。哪个好要试过才知道。只要有定期体检三个都不错。假如医生给你开的别嘌醇，苯溴马隆，吃的好好的体检没问题，有人跟你说它“别嘌醇苯溴马隆副作用大，已经淘汰”不要理他。
非布司他和苯溴马隆可以一起吃吗？	可以的，你可以去知网找有不少联合用药的论文，两种小剂量或者常规剂量用药都可以，而且还有别嘌醇苯溴马隆复方制剂，可以非布司他或者别嘌醇＋苯溴马隆，不非布司他联合别嘌醇。
别嘌醇和非布司他需要碱化尿液吗？	使用非布司他，别嘌醇这样的抑制尿酸生成的药物，不需要碱化尿液，2019 中国指南推荐服用非布司他碱化尿液 3 个月左右，除非有肾结石，痛风石（利于排出），则服用苯溴马隆。 原因如下：1) 非布司他是从源头减少尿酸，你现在是 360 以下尿酸的人了，不是高尿酸的人，而且黄嘌呤溶解度不受尿液 ph 影响，这也是为什么非布司他说明书无碱化尿液要求。2) 碱化尿液目的只是预防肾结石，如果你不吃碳酸氢钠了担心肾结石就半年或者一年做一次泌尿彩超看看有没肾结石就行，有肾结石就用友来特溶解了即可。非布司他/别嘌醇抑制了黄嘌呤的氧化，抑制后的异黄嘌呤易溶于水，多喝水就行，部分会在肾脏随着尿液排泄出去。总之服用非布司/别嘌醇他几个月后，没有肾结石，痛风石，不碱化尿液尿酸也达标，不需要服用碳酸氢钠（碳酸氢钠副作用大收益不如不吃）来碱化尿液，要求没那么高，只是碱化尿液有益处，有 1%风友吃非布司他也会结晶/结石，所以有个体差异。
